Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Record Time
2025-2-5 5:0:28.700,0.001,-0.001,0.0259,0.0,0.0,0.0,28.15,106.60250017,35.20446917,2025-02-05 05:00:28.790
2025-2-5 5:0:28.710,0.0034,0.001,0.0244,0.0,0.0,0.0,28.21,0.0,0.0,2025-02-05 05:00:28.823
2025-2-5 5:0:28.750,0.001,0.0,0.0205,0.0,0.0,0.0,28.34,106.60250017,35.20446917,2025-02-05 05:00:28.833
2025-2-5 5:0:28.760,-0.0005,0.0,0.0249,0.0,0.0,0.0,28.34,106.60250017,35.20446917,2025-02-05 05:00:28.841
2025-2-5 5:0:28.770,0.0005,0.0,0.0259,0.0,0.0,0.0,28.34,106.60250017,35.20446917,2025-02-05 05:00:28.851
2025-2-5 5:0:28.780,0.0015,0.0029,0.0244,0.0,0.0,0.0,28.34,106.60250017,35.20446917,2025-02-05 05:00:28.861
2025-2-5 5:0:28.790,0.0005,0.0,0.0229,0.0,0.0,0.0,28.15,106.60250017,35.20446917,2025-02-05 05:00:28.871
2025-2-5 5:0:28.800,-0.001,0.0,0.0234,0.0,0.0,0.0,28.34,106.60250017,35.20446917,2025-02-05 05:00:28.881
2025-2-5 5:0:28.810,0.0015,-0.0044,0.0229,0.0,0.0,0.0,28.34,106.60250017,35.20446917,2025-02-05 05:00:28.891
2025-2-5 5:0:28.820,0.0039,-0.001,0.0283,0.0,0.0,0.0,28.21,106.60250017,35.20446917,2025-02-05 05:00:28.901
2025-2-5 5:0:28.830,0.001,0.0,0.0244,0.0,0.0,0.0,28.47,106.60250017,35.20446917,2025-02-05 05:00:28.911
2025-2-5 5:0:28.840,0.001,0.0015,0.0273,0.0,0.0,0.0,28.15,106.60250017,35.20446917,2025-02-05 05:00:28.921
2025-2-5 5:0:28.850,-0.002,-0.0039,0.0239,0.0,0.0,0.0,28.21,106.60250017,35.20446917,2025-02-05 05:00:28.931
2025-2-5 5:0:28.860,0.0,0.0,0.0244,0.0,0.0,0.0,28.47,106.60250017,35.20446917,2025-02-05 05:00:28.941
2025-2-5 5:0:28.870,0.001,0.0015,0.0234,0.0,0.0,0.0,28.47,106.60250017,35.20446917,2025-02-05 05:00:28.951
2025-2-5 5:0:28.880,-0.0015,-0.001,0.0244,0.0,0.0,0.0,28.28,106.60250017,35.20446917,2025-02-05 05:00:28.961
2025-2-5 5:0:28.890,0.002,-0.0024,0.0225,0.0,0.0,0.0,28.28,106.60250017,35.20446917,2025-02-05 05:00:28.971
2025-2-5 5:0:28.900,0.002,0.0,0.0234,0.0,0.0,0.0,28.15,106.60250017,35.20446917,2025-02-05 05:00:28.981
2025-2-5 5:0:28.910,0.0005,0.0015,0.0205,0.0,0.0,0.0,28.28,106.60250017,35.20446917,2025-02-05 05:00:28.992
2025-2-5 5:0:28.855,0.0015,0.0015,0.0249,0.0,0.0,0.0,28.47,106.6025,35.204469,2025-02-05 05:00:29.001
2025-2-5 5:0:28.865,0.002,-0.0015,0.0264,0.0,0.0,0.0,28.28,106.6025,35.204469,2025-02-05 05:00:29.011
2025-2-5 5:0:28.875,0.0,0.0,0.0225,0.0,0.0,0.0,28.47,106.6025,35.204469,2025-02-05 05:00:29.021
2025-2-5 5:0:28.885,0.0029,0.0015,0.0229,0.0,0.0,0.0,28.47,106.6025,35.204469,2025-02-05 05:00:29.031
2025-2-5 5:0:28.895,0.001,-0.001,0.0215,0.0,0.0,0.0,28.15,106.6025,35.204469,2025-02-05 05:00:29.041
2025-2-5 5:0:28.955,0.001,0.0,0.0234,0.0,0.0,0.0,28.34,106.6025,35.204469,2025-02-05 05:00:29.051
2025-2-5 5:0:28.965,0.002,-0.001,0.0239,0.0,0.0,0.0,28.28,106.6025,35.204469,2025-02-05 05:00:29.061
2025-2-5 5:0:28.975,-0.0015,0.0,0.0239,0.0,0.0,0.0,28.34,106.6025,35.204469,2025-02-05 05:00:29.070
2025-2-5 5:0:28.985,0.001,0.0005,0.0234,0.0,0.0,0.0,28.34,106.6025,35.204469,2025-02-05 05:00:29.080
2025-2-5 5:0:28.995,0.0015,0.0,0.0234,0.0,0.0,0.0,28.47,106.6025,35.204469,2025-02-05 05:00:29.090
2025-2-5 5:0:29.5,0.0,-0.001,0.0249,0.0,0.0,0.0,28.15,106.6025,35.204469,2025-02-05 05:00:29.100
2025-2-5 5:0:29.15,0.002,0.0015,0.0225,0.0,0.0,0.0,28.53,106.6025,35.204469,2025-02-05 05:00:29.110
2025-2-5 5:0:29.25,0.0024,-0.0005,0.0225,0.0,0.0,0.0,28.21,106.6025,35.204469,2025-02-05 05:00:29.120
2025-2-5 5:0:29.35,0.001,-0.0024,0.0225,0.0,0.0,0.0,28.34,106.6025,35.204469,2025-02-05 05:00:29.130
2025-2-5 5:0:29.45,0.002,0.0005,0.0254,0.0,0.0,0.0,28.28,106.6025,35.204469,2025-02-05 05:00:29.140
2025-2-5 5:0:29.55,0.0034,0.0,0.0229,0.0,0.0,0.0,28.47,106.6025,35.204469,2025-02-05 05:00:29.150
2025-2-5 5:0:29.65,0.0015,0.001,0.0249,0.0,0.0,0.0,28.21,106.6025,35.204469,2025-02-05 05:00:29.160
2025-2-5 5:0:29.75,0.0,0.0,0.0254,0.0,0.0,0.0,28.47,106.6025,35.204469,2025-02-05 05:00:29.170
2025-2-5 5:0:29.85,0.001,-0.0005,0.0239,0.0,0.0,0.0,28.28,106.6025,35.204469,2025-02-05 05:00:29.180
2025-2-5 5:0:29.95,0.0005,-0.002,0.0234,0.0,0.0,0.0,28.34,106.6025,35.204469,2025-02-05 05:00:29.190
2025-2-5 5:0:29.105,0.002,0.0,0.0244,0.0,0.0,0.0,28.53,106.6025,35.204469,2025-02-05 05:00:29.200
2025-2-5 5:0:29.115,0.0024,0.0,0.0244,0.0,0.0,0.0,28.15,106.6025,35.204469,2025-02-05 05:00:29.211
2025-2-5 5:0:29.54,0.002,0.0005,0.0249,0.0,0.0,0.0,28.34,106.6025,35.204469,2025-02-05 05:00:29.220
2025-2-5 5:0:29.64,0.001,-0.0015,0.022,0.0,0.0,0.0,28.59,106.6025,35.204469,2025-02-05 05:00:29.230
2025-2-5 5:0:29.74,0.0024,-0.0005,0.0239,0.0,0.0,0.0,28.28,106.6025,35.204469,2025-02-05 05:00:29.240
2025-2-5 5:0:29.84,0.0005,-0.001,0.0264,0.0,0.0,0.0,28.02,106.6025,35.204469,2025-02-05 05:00:29.250
2025-2-5 5:0:29.94,0.0024,-0.002,0.0249,0.0,0.0,0.0,28.28,106.6025,35.204469,2025-02-05 05:00:29.260
2025-2-5 5:0:29.154,0.0029,0.0,0.0244,0.0,0.0,0.0,28.15,106.6025,35.204469,2025-02-05 05:00:29.270
2025-2-5 5:0:29.164,0.0,0.0,0.0229,0.0,0.0,0.0,28.47,106.6025,35.204469,2025-02-05 05:00:29.280
2025-2-5 5:0:29.174,0.0,-0.001,0.0239,0.0,0.0,0.0,28.34,106.6025,35.204469,2025-02-05 05:00:29.290
2025-2-5 5:0:29.184,0.0005,0.0005,0.0234,0.0,0.0,0.0,28.28,106.6025,35.204469,2025-02-05 05:00:29.299
2025-2-5 5:0:29.194,-0.0005,0.001,0.0234,0.0,0.0,0.0,28.15,106.6025,35.204469,2025-02-05 05:00:29.310
2025-2-5 5:0:29.204,-0.0005,0.0,0.0215,0.0,0.0,0.0,28.28,106.6025,35.204469,2025-02-05 05:00:29.319
2025-2-5 5:0:29.214,0.0015,-0.001,0.0234,0.0,0.0,0.0,28.53,106.6025,35.204469,2025-02-05 05:00:29.329
2025-2-5 5:0:29.224,0.001,0.0,0.0249,0.0,0.0,0.0,28.15,106.6025,35.204469,2025-02-05 05:00:29.339
2025-2-5 5:0:29.234,-0.001,-0.0005,0.0249,0.0,0.0,0.0,28.34,106.6025,35.204469,2025-02-05 05:00:29.349
2025-2-5 5:0:29.244,0.0039,0.0005,0.0244,0.0,0.0,0.0,28.28,106.6025,35.204469,2025-02-05 05:00:29.359
2025-2-5 5:0:29.254,0.0015,0.0015,0.0249,0.0,0.0,0.0,28.34,106.6025,35.204469,2025-02-05 05:00:29.369
2025-2-5 5:0:29.264,0.001,0.001,0.0215,0.0,0.0,0.0,28.34,106.6025,35.204469,2025-02-05 05:00:29.379
